Data Set 1:Time(s),Data Set 1:Absorbance,Concentration,,,,,
0,0.000502661,4.96E-06,,,,,
1,0.000678162,6.69E-06,,,,,
2,0.001399845,1.38E-05,,,,,
3,0.001547852,1.53E-05,,,,,
4,0.001065378,1.05E-05,Maximum,0.001993879,,,
5,0.000628576,6.20E-06,.9 Frac,0.001794491,,-4.35E-06,0.002045908
6,0.000628576,6.20E-06,,,,,
7,0.001291109,1.27E-05,,,,,
8,0.000900149,8.88E-06,,,,,
9,0.000379424,3.74E-06,,,,,
10,0.004163453,4.11E-05,,,,,
11,0.002607432,2.57E-05,,,,,
12,0.001704926,1.68E-05,,,,,
13,0.000541567,5.34E-06,,,,,
14,0.000889944,8.78E-06,,,,,
15,0.000889944,8.78E-06,,,,,
16,0.000892243,8.80E-06,,,,,
17,0.002158966,2.13E-05,,,,,
18,0.006045064,5.96E-05,,,,,
19,0.004739438,4.67E-05,,,,,
20,0.011160834,0.000110067,,,,,
21,0.021663737,0.000213646,,,,,
22,0.034893747,0.00034412,,,,,
23,0.057741995,0.000569448,,,,,
24,0.069021222,0.000680683,,,,,
25,0.069021222,0.000680683,,,,,
26,0.077028243,0.000759647,,,,,
27,0.102696308,0.001012784,,,,,
28,0.108190046,0.001066963,,,,,
29,0.124513729,0.001227946,,,,,
30,0.146384051,0.00144363,,,,,
31,0.160407212,0.001581925,,,,,
32,0.170987739,0.00168627,,,,,
33,0.178559687,0.001760944,,,,,
34,0.178559687,0.001760944,,,,,
35,0.18269819,0.001801757,,,,,
36,0.184500106,0.001819528,,,,,
37,0.202179334,0.001993879,,,,,
38,0.190791633,0.001881574,,,,,
39,0.187262583,0.001846771,,,,,
40,0.19028878,0.001876615,,,,,
41,0.192522015,0.001898639,,,,,
42,0.192522015,0.001898639,,,,,
43,0.192522015,0.001898639,,,,,
44,0.188152681,0.001855549,,,,,
45,0.185547432,0.001829856,,,,,
46,0.185384222,0.001828247,,,,,
47,0.184433767,0.001818873,,,,,
48,0.188988052,0.001863787,,,,,
49,0.184969954,0.001824161,,,,,
50,0.184969954,0.001824161,,,,,
51,0.183440291,0.001809076,,,,,
52,0.183027621,0.001805006,,,,,
53,0.182818311,0.001802942,,,,,
54,0.182818311,0.001802942,,,,,
55,0.18552717,0.001829657,,,,,
56,0.182672804,0.001801507,,,,,
57,0.180841967,0.001783451,,,,,
58,0.180109292,0.001776226,,,,,
59,0.180109292,0.001776226,,,,,
60,0.18064645,0.001781523,,,,,
61,0.180173801,0.001776862,,,,,
62,0.179512693,0.001770342,,,,,
63,0.178955679,0.001764849,,,,,
64,0.178833489,0.001763644,,,,,
65,0.177951814,0.001754949,,,,,
66,0.177943989,0.001754872,,,,,
67,0.177763118,0.001753088,,,,,
68,0.177763118,0.001753088,,,,,
69,0.176487768,0.001740511,,,,,
70,0.175516043,0.001730927,,,,,
71,0.175676644,0.001732511,,,,,
72,0.175618004,0.001731933,,,,,
73,0.174691095,0.001722792,,,,,
74,0.174986137,0.001725702,,,,,
75,0.175959221,0.001735298,,,,,
76,0.175959221,0.001735298,,,,,
77,0.176443668,0.001740076,,,,,
78,0.173824429,0.001714245,,,,,
79,0.172295116,0.001699163,,,,,
80,0.172295116,0.001699163,,,,,
81,0.172295116,0.001699163,,,,,
82,0.174336254,0.001719292,,,,,
83,0.174336254,0.001719292,,,,,
84,0.171704851,0.001693342,,,,,
85,0.171023753,0.001686625,,,,,
86,0.170706437,0.001683495,,,,,
87,0.169407157,0.001670682,,,,,
88,0.172463361,0.001700822,,,,,
89,0.169325225,0.001669874,,,,,
90,0.16841564,0.001660904,,,,,
91,0.167992779,0.001656734,,,,,
92,0.167992779,0.001656734,,,,,
93,0.168178205,0.001658562,,,,,
94,0.168068727,0.001657483,,,,,
95,0.169341561,0.001670035,,,,,
96,0.166793173,0.001644903,,,,,
97,0.166233012,0.001639379,,,,,
98,0.165501423,0.001632164,,,,,
99,0.164667638,0.001623941,,,,,
100,0.164667638,0.001623941,,,,,
101,0.172509117,0.001701273,,,,,
102,0.165196982,0.001629162,,,,,
103,0.163641393,0.00161382,,,,,
104,0.172915453,0.001705281,,,,,
105,0.166606044,0.001643058,,,,,
106,0.162890666,0.001606417,,,,,
107,0.161447558,0.001592185,,,,,
108,0.161447558,0.001592185,,,,,
109,0.161466107,0.001592368,,,,,
110,0.16068571,0.001584672,,,,,
111,0.160310755,0.001580974,,,,,
112,0.159923155,0.001577151,,,,,
113,0.162070849,0.001598332,,,,,
114,0.159158816,0.001569614,,,,,
115,0.158202933,0.001560187,,,,,
116,0.158374507,0.001561879,,,,,
117,0.158374507,0.001561879,,,,,
118,0.157897715,0.001557177,,,,,
119,0.157265868,0.001550945,,,,,
120,0.156908456,0.001547421,,,,,
121,0.156276949,0.001541193,,,,,
122,0.156020041,0.001538659,,,,,
123,0.156038383,0.00153884,,,,,
124,0.156038383,0.00153884,,,,,
125,0.154815517,0.00152678,,,,,
126,0.154540406,0.001524067,,,,,
127,0.154158003,0.001520296,,,,,
128,0.153814593,0.001516909,,,,,
129,0.166663502,0.001643624,,,,,
130,0.155568785,0.001534209,,,,,
131,0.152955766,0.00150844,,,,,
132,0.153385105,0.001512674,,,,,
133,0.153385105,0.001512674,,,,,
134,0.155858632,0.001537067,,,,,
135,0.151971392,0.001498732,,,,,
136,0.150054376,0.001479826,,,,,
137,0.150433573,0.001483566,,,,,
138,0.149514927,0.001474506,,,,,
139,0.152155434,0.001500547,,,,,
140,0.151069817,0.00148984,,,,,
141,0.151069817,0.00148984,,,,,
142,0.152232821,0.00150131,,,,,
143,0.151825045,0.001497288,,,,,
144,0.14813735,0.001460921,,,,,
145,0.147287449,0.001452539,,,,,
146,0.148673168,0.001466205,,,,,
147,0.161903677,0.001596683,,,,,
